12:04AM	65
12:05AM	72
12:06AM	80.5
12:07AM	86
12:08AM	87
12:09AM	90
12:10AM	93	Peak (93°C, 119°F)
12:11AM	68.5
12:12AM	65
12:13AM	63
12:14AM	60
12:15AM	59
12:16AM	58
12:17AM	56
12:18AM	54.5
12:19AM	52
12:20AM	50
12:21AM	49
12:22AM	46.5
12:23AM	46
12:24AM	44.5
12:25AM	43
12:26AM	41
12:27AM	42
12:28AM	42
12:29AM	43
12:30AM	39.5
12:31AM	39
12:32AM	39
12:33AM	37.5
12:34AM	37
12:35AM	39
12:36AM	36
12:37AM	36
12:38AM	36
12:39AM	36
12:40AM	37
12:41AM	35.5
12:42AM	35
12:43AM	34
12:44AM	39
12:45AM	40
12:46AM	35
12:47AM	32
12:48AM	34
12:49AM	34
12:50AM	33.5
12:51AM	33
12:52AM	34
12:53AM	33
12:54AM	34.5
12:55AM	31
12:56AM	31
12:57AM	31
12:58AM	34.5
12:59AM	33
1:00AM	32
1:01AM	34
1:02AM	33
1:03AM	32
1:04AM	33
1:05AM	33.5
1:06AM	33
1:07AM	33
1:08AM	32
1:09AM	33.5
1:10AM	33
1:11AM	31
1:12AM	32
1:13AM	32
1:14AM	31
1:15AM	32
