12:04AM	6.1
12:05AM	7.45
12:06AM	14.7
12:07AM	6.1
12:08AM	6.1
12:09AM	6.1
12:10AM	7.45
12:11AM	6.1
12:12AM	8.8
12:13AM	8.8
12:14AM	8.8
12:15AM	14.7
12:16AM	12.3
12:17AM	12.1
12:18AM	19.7
12:19AM	19.1
12:20AM	14.95
12:21AM	14.95
12:22AM	14.7
12:23AM	14.95
12:24AM	15.65
12:25AM	13.85
12:26AM	15.9
12:27AM	15.6
12:28AM	30.85
12:29AM	21.55
12:30AM	28.2
12:31AM	28.9
12:32AM	27.45
12:33AM	28.8
12:34AM	24.95
12:35AM	34.4
12:36AM	30
12:37AM	26.55
12:38AM	27.7
12:39AM	39.5
12:40AM	41.65
12:41AM	39.95
12:42AM	31.4
12:43AM	24.85
12:44AM	72.2
12:45AM	82.65
12:46AM	23.95
12:47AM	20
12:48AM	29.25
12:49AM	20
12:50AM	26.05
12:51AM	22.2
12:52AM	23.45
12:53AM	23.95
12:54AM	43.25
12:55AM	21.05
12:56AM	12.1
12:57AM	19.1
12:58AM	45.75
12:59AM	37.8
1:00AM	34.3
1:01AM	48.55
1:02AM	49.15
1:03AM	17.1
1:04AM	28.95
1:05AM	37.85
1:06AM	40.6
1:07AM	45.4
1:08AM	29.4
1:09AM	45
1:10AM	21.55
1:11AM	14.7
1:12AM	36.75
1:13AM	17.3
1:14AM	12.5
1:15AM	9.4
