Date,Open,High,Low,Close,Adj Close,Volume
2019-09-03,44.270000,44.560001,44.250000,44.400002,44.400002,1490500
2019-09-04,44.669998,44.840000,44.630001,44.730000,44.730000,1425600
2019-09-05,44.959999,45.000000,44.680000,44.779999,44.779999,756900
2019-09-06,44.720001,45.049999,44.720001,44.919998,44.919998,932100
2019-09-09,44.430000,44.450001,43.740002,43.790001,43.790001,1251200
2019-09-10,43.139999,43.680000,42.980000,43.560001,43.560001,1287400
2019-09-11,43.389999,43.610001,43.349998,43.529999,43.529999,1208900
2019-09-12,43.830002,44.070000,43.650002,43.799999,43.799999,1773100
2019-09-13,44.209999,44.230000,43.060001,43.709999,43.709999,2063000
2019-09-16,43.759998,43.939999,43.410000,43.599998,43.599998,1263100
2019-09-17,43.790001,44.330002,43.779999,44.299999,44.299999,1830600
2019-09-18,44.299999,44.480000,44.209999,44.410000,44.410000,1655800
2019-09-19,44.740002,45.029999,44.730000,44.919998,44.919998,993700
2019-09-20,45.529999,46.599998,45.430000,46.459999,46.459999,3554500
2019-09-23,45.950001,46.230000,45.900002,46.209999,46.209999,1750600
2019-09-24,46.610001,46.860001,46.410000,46.639999,46.639999,2769900
2019-09-25,46.599998,46.680000,46.369999,46.500000,46.500000,3775900
2019-09-26,46.630001,47.110001,46.439999,46.630001,46.630001,4297300
2019-09-27,46.090000,46.580002,46.090000,46.259998,46.259998,1854700
2019-09-30,46.130001,46.480000,46.090000,46.330002,46.330002,1751000
