Date,Open,High,Low,Close,Adj Close,Volume
2019-08-01,41.520000,41.980000,41.480000,41.849998,41.849998,1374200
2019-08-02,41.520000,41.599998,41.119999,41.310001,41.310001,1028300
2019-08-05,40.849998,40.910000,40.000000,40.340000,40.340000,1083900
2019-08-06,40.730000,40.820000,40.459999,40.700001,40.700001,731300
2019-08-07,40.549999,41.029999,40.380001,40.810001,40.810001,970800
2019-08-08,41.430000,41.869999,41.360001,41.740002,41.740002,816200
2019-08-09,41.650002,41.779999,41.270000,41.570000,41.570000,646400
2019-08-12,41.360001,41.599998,41.220001,41.410000,41.410000,529000
2019-08-13,41.889999,42.459999,41.849998,42.099998,42.099998,942400
2019-08-14,42.400002,42.490002,41.750000,41.750000,41.750000,1067100
2019-08-15,41.689999,41.939999,41.419998,41.650002,41.650002,995900
2019-08-16,41.820000,42.330002,41.810001,42.020000,42.020000,973000
2019-08-19,42.720001,42.889999,42.669998,42.730000,42.730000,1117700
2019-08-20,42.970001,43.000000,42.590000,42.599998,42.599998,1742100
2019-08-21,43.130001,43.360001,43.009998,43.200001,43.200001,1075700
2019-08-22,42.849998,42.959999,42.549999,42.570000,42.570000,979300
2019-08-23,42.709999,43.040001,42.450001,42.580002,42.580002,713300
2019-08-26,42.689999,42.860001,42.500000,42.759998,42.759998,553400
2019-08-27,43.110001,43.259998,42.950001,42.950001,42.950001,910800
2019-08-28,42.919998,43.290001,42.740002,43.020000,43.020000,1016700
2019-08-29,43.270000,43.320000,42.889999,42.910000,42.910000,2364800
2019-08-30,43.290001,43.369999,42.830002,42.950001,42.950001,1473600
