Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,1800.109985,1815.670044,1798.729980,1814.189941,1814.189941,4238800
2019-04-02,1811.020020,1820.000000,1805.119995,1813.979980,1813.979980,3448100
2019-04-03,1826.719971,1830.000000,1809.619995,1820.699951,1820.699951,3980600
2019-04-04,1820.650024,1828.750000,1804.199951,1818.859985,1818.859985,3623900
2019-04-05,1829.000000,1838.579956,1825.189941,1837.280029,1837.280029,3640500
2019-04-08,1833.229980,1850.199951,1825.109985,1849.859985,1849.859985,3752800
2019-04-09,1845.489990,1853.089966,1831.780029,1835.839966,1835.839966,3714400
2019-04-10,1841.000000,1848.000000,1828.810059,1847.329956,1847.329956,2964000
2019-04-11,1848.699951,1849.949951,1840.310059,1844.069946,1844.069946,2654800
2019-04-12,1848.400024,1851.500000,1841.300049,1843.060059,1843.060059,3114400
2019-04-15,1842.000000,1846.849976,1818.900024,1844.869995,1844.869995,3724400
2019-04-16,1851.349976,1869.770020,1848.000000,1863.040039,1863.040039,3044600
2019-04-17,1872.989990,1876.469971,1860.439941,1864.819946,1864.819946,2893500
2019-04-18,1868.790039,1870.819946,1859.479980,1861.689941,1861.689941,2749900
2019-04-22,1855.400024,1888.420044,1845.640015,1887.310059,1887.310059,3373800
2019-04-23,1891.199951,1929.260010,1889.579956,1923.770020,1923.770020,4640400
2019-04-24,1925.000000,1929.689941,1898.160034,1901.750000,1901.750000,3675800
2019-04-25,1917.000000,1922.449951,1900.310059,1902.250000,1902.250000,6099100
2019-04-26,1929.000000,1951.000000,1898.000000,1950.630005,1950.630005,8432600
2019-04-29,1949.000000,1956.339966,1934.089966,1938.430054,1938.430054,4021300
2019-04-30,1930.099976,1935.709961,1906.949951,1926.520020,1926.520020,3506000
