Date,Open,High,Low,Close,Adj Close,Volume
2019-02-04,43.439999,43.759998,43.119999,43.750000,41.997379,726500
2019-02-05,43.680000,43.910000,43.529999,43.599998,41.853386,675500
2019-02-06,43.270000,43.459999,43.099998,43.389999,41.651798,1153000
2019-02-07,43.330002,43.360001,42.310001,42.509998,40.807053,1443100
2019-02-08,42.919998,42.919998,42.470001,42.639999,40.931843,936600
2019-02-11,42.360001,42.560001,42.259998,42.330002,40.634266,562700
2019-02-12,42.549999,42.840000,42.529999,42.720001,41.008640,537600
2019-02-13,41.759998,41.950001,41.590000,41.619999,39.952705,1310500
2019-02-14,41.360001,41.820000,41.250000,41.560001,39.895111,782200
2019-02-15,42.150002,42.570000,42.070000,42.549999,40.845451,773700
2019-02-19,42.529999,42.599998,42.150002,42.220001,40.528671,973400
2019-02-20,42.099998,42.240002,42.049999,42.150002,40.461475,526100
2019-02-21,41.630001,41.669998,41.259998,41.330002,39.674324,1329700
2019-02-22,41.200001,41.290001,41.070000,41.180000,39.530334,772000
2019-02-25,41.389999,41.410000,40.650002,40.830002,39.194355,1120200
2019-02-26,41.160000,41.520000,41.160000,41.380001,39.722321,863400
2019-02-27,41.509998,41.549999,41.160000,41.310001,39.655125,472300
2019-02-28,41.730000,41.959999,41.599998,41.599998,39.933506,947800
2019-03-01,42.040001,42.340000,42.000000,42.150002,40.461475,1255100
2019-03-04,42.740002,42.759998,42.310001,42.500000,40.797455,1003000
2019-03-05,43.119999,43.320000,43.020000,43.119999,41.392616,1846800
2019-03-06,43.650002,43.680000,43.180000,43.310001,41.575005,1656200
2019-03-07,43.110001,43.290001,42.900002,42.959999,41.239025,2041700
2019-03-08,43.470001,43.520000,42.869999,42.910000,41.191029,1632200
2019-03-11,43.209999,43.520000,43.099998,43.480000,41.738194,1124000
2019-03-12,43.459999,43.720001,43.459999,43.549999,41.805389,562700
2019-03-13,43.779999,44.180000,43.770000,44.090000,42.323757,1598700
2019-03-14,44.180000,44.380001,43.930000,44.330002,42.554146,1103700
2019-03-15,44.770000,45.150002,44.610001,45.090000,43.283699,1225700
2019-03-18,44.810001,44.990002,44.779999,44.910000,43.110909,816200
2019-03-19,45.000000,45.189999,44.900002,45.139999,43.331696,999800
2019-03-20,45.160000,45.570000,45.029999,45.410000,43.590878,1541600
2019-03-21,45.070000,45.490002,45.070000,45.430000,43.610077,905200
2019-03-22,44.520000,44.669998,44.130001,44.259998,42.486946,2748800
2019-03-25,44.150002,44.230000,43.889999,43.950001,42.189365,650300
2019-03-26,44.380001,44.509998,44.139999,44.189999,42.419750,702800
2019-03-27,43.849998,44.049999,43.560001,43.790001,42.035778,659700
2019-03-28,44.240002,44.369999,44.130001,44.259998,42.486946,596200
2019-03-29,44.020000,44.400002,43.950001,44.279999,42.506145,1291000
