X,Y,OBJECTID,MSLINK,MAPID,STATION_ID,LOCATION,COUNTY,RAIL_ID,GMROTATION,LATITUDE,LONGITUDE,ID,ATIS_ID
-74.0787947525751,40.8438685287105,43,568,22855,Wood-Ridge, ,Bergen,"Pascack Valley Line",89.999795,40.84387,-74.07879,135,RAIL0160
-74.3293342571696,40.5685754887687,44,569,22855,Metropark, ,Middlesex,"Northeast Corridor",89.999795,40.56858,-74.32933,136,RAIL0083
-74.3604159188589,40.5407725439186,45,570,22855,Metuchen, ,Middlesex,"Northeast Corridor",89.999795,40.54077,-74.36042,137,RAIL0084
-74.4109723104231,40.5191491655025,46,571,22855,Edison, ,Middlesex,"Northeast Corridor",89.999795,40.51915,-74.41097,138,RAIL0038
-74.4456529735053,40.497320566292,47,572,22855,New Brunswick, ,Middlesex,"Northeast Corridor",89.999795,40.49732,-74.44565,139,RAIL0103
-74.4673292653326,40.476903654481,48,573,22855,Jersey Avenue, ,Middlesex,"Northeast Corridor",89.999795,40.4769,-74.46733,140,RAIL0065
-74.6237510395782,40.3163158472994,49,574,22855,Princeton Jct., ,Mercer,"Northeast Corridor",89.999795,40.31632,-74.62375,141,RAIL0125
-74.6578151085797,40.3402066063507,50,575,22855,Princeton, ,Mercer,"Northeast Corridor",89.999795,40.34021,-74.65782,142,RAIL0124
-74.7539180428827,40.2185152609714,51,576,22855,Trenton, ,Mercer,"Northeast Corridor",89.999795,40.21852,-74.75392,143,RAIL0148
-74.7041206890179,40.255307909933,52,577,22855,Hamilton, ,Mercer,"Northeast Corridor",89.999795,40.25531,-74.70412,144,RAIL0163
-74.0476435283255,40.1206216820459,53,579,22855,Manasquan, ,Monmouth,"North Jersey Coast Line",89.999795,40.12062,-74.04764,146,RAIL0079
-74.1172932185066,40.8100948283146,54,581,22855,Kingsland, ,Bergen,"Main/Bergen Line",89.999795,40.81009,-74.11729,148,RAIL0066
-74.2664019594822,40.6671061168547,55,582,22855,Roselle Park, ,Union,"Raritan Valley Line",89.999795,40.66711,-74.2664,149,RAIL0031
-74.1018696133913,41.4370819303877,56,583,22855,Salisbury Mills-Cornwall, ,"Orange, NY","Port Jervis Line",89.999795,41.43708,-74.10187,150,RAIL0135
-74.2663955877855,41.4510301293379,57,584,22855,Campbell Hall, ,"Orange, NY","Port Jervis Line",89.999795,41.45103,-74.2664,151,RAIL0026
-74.3703570832121,41.4573392673942,58,585,22855,Middletown, ,"Orange, NY","Port Jervis Line",89.999795,41.45734,-74.37036,152,RAIL0086
-74.5292250125236,41.4717614900017,59,586,22855,Otisville, ,"Orange, NY","Port Jervis Line",89.999795,41.47176,-74.52923,153,RAIL0113
-74.6951114777119,41.3746131172025,60,587,22855,Port Jervis, ,"Orange, NY","Port Jervis Line",89.999795,41.37461,-74.69511,154,RAIL0123
-74.1910701466693,41.1571526433807,61,588,22855,Sloatsburg, ,"Rockland, NY","Port Jervis Line",89.999795,41.15715,-74.19107,155,RAIL0137
-74.0481919097282,40.092717963664,62,428,22855,Point Pleasant, ,Ocean,"North Jersey Coast Line",89.999795,40.09272,-74.04819,1,RAIL0122
