lat,long,city,country,row
42.36,-71.06,Boston,US,209
33.75,-84.39,Atlanta,US,210
40.71,-74.01,New York,US,211
40.71,-74.01,New York,US,213
40.71,-74.01,New York,US,214
37.78,-122.42,NA,US,216
35.15,-90.05,Memphis,US,221
34.05,-118.24,Los Angeles,US,222
17.97,-76.79,Kingston,Jamaica,223
42.36,-71.06,Boston,US,224
38.90,-77.04,Washington,US,225
43.00,-71.45,Manchester,US,226
33.75,-84.39,Atlanta,US,228
42.36,-71.06,Boston,US,229
40.71,-74.01,New York,US,230
39.95,-75.16,Philadelphia,US,231
40.71,-74.01,New York,US,232
39.15,-74.69,Sea Isle City,US,233
40.71,-74.01,New York,US,235
41.85,-73.56,Amenia,US,236
40.71,-74.01,New York,US,237
33.75,-84.39,Atlanta,US,238
33.47,-81.97,Augusta,US,239
35.05,-85.31,Chattanooga,US,240
32.79,-79.94,Charleston,US,241
38.63,-90.24,St. Louis,US,242
40.71,-74.01,New York,US,243
38.90,-77.04,Washington,US,247
48.86,2.32,Paris,France,250
40.71,-74.01,New York,US,251
33.75,-84.39,Atlanta,US,252
48.86,2.32,Paris,France,253
50.85,4.35,Brussels,Belgium,255
48.86,2.32,Paris,France,256
46.20,6.15,Geneva,Switzerland,257
45.92,6.87,Chamonix-Mont Blanc,France,258
40.71,-74.01,New York,US,259
41.65,-83.54,Toledo,US,260
39.94,-82.01,Zanesville,US,261
41.88,-87.62,Chicago,US,262
39.77,-86.16,Indianapolis,US,263
39.74,-104.98,Denver,US,264
45.52,-122.67,Portland,US,265
44.05,-123.10,Eugene,US,266
38.58,-121.49,Sacramento,US,267
37.78,-122.42,San Francisco,US,268
37.80,-122.27,Oakland,US,269
34.05,-118.24,Los Angeles,US,270
32.72,-117.16,San Diego,US,271
36.16,-86.77,Nashville,US,272
51.53,-0.10,London,England,273
45.44,4.39,St. Etienne,France,274
47.07,3.00,Marseilles,France,275
43.21,2.35,Carcassonne,France,276
40.42,-3.70,Madrid,Spain,277
38.71,-9.14,Lisbon,Portugal,278
28.29,-16.80,Tenerife,Canary Islands,279
6.33,-10.80,Monrovia,Liberia,280
8.40,-16.34,NA,Sierra Leone,281
14.69,-17.45,Dakar,Senegal,282
34.05,-118.24,Los Angeles,US,283
40.71,-74.01,New York,US,284
40.71,-74.01,New York,US,285
36.16,-86.77,Nashville,US,286
39.95,-75.16,Philadephia,US,287
41.88,-87.62,Chicago,US,288
40.71,-74.01,New York,US,289
50.12,8.36,Franfurt,Germany,291
52.52,13.39,Berlin,Germany,292
53.43,14.55,Szczecin,Poland,293
59.99,29.77,Kronstadt,Russia,294
55.75,37.62,Moscow,Russia,296
56.33,44.01,Nizhni Novgorod,Russia,297
50.45,30.52,Kiev,Ukraine,298
46.48,30.73,Odessa,Ukraine,299
41.01,28.97,Istanbul,Turkey,300
37.98,23.73,Athens,Greece,301
35.41,-83.72,NA,Italy,302
40.71,-74.01,New York,US,303
38.90,-77.04,Washington,US,304
34.05,-118.24,Los Angeles,US,305
40.71,-74.01,New York,US,306
40.71,-74.01,New York,US,307
41.88,-87.62,Chicago,US,308
34.05,-118.24,Los Angeles,US,309
37.23,-77.40,Petersburg,US,310
38.71,-93.23,Sedalia,US,311
35.78,-78.64,Raleigh,US,312
36.06,-94.16,Fayetteville,US,313
35.23,-80.84,Charlotte,US,314
32.79,-79.94,Charleston,US,315
29.21,-81.02,Daytona Beach,US,316
30.33,-81.66,Jacksonville,US,317
33.47,-81.97,Augusta,US,318
35.41,-83.72,Tuskeegee,US,319
33.43,-86.17,Talledega,US,320
40.71,-74.01,New York,US,322
38.90,-77.04,Washington,US,323
39.29,-76.61,Baltimore,US,324
40.71,-74.01,New York,US,325
33.75,-84.39,Atlanta,US,326
40.71,-74.01,New York,US,327
33.75,-84.39,Atlanta,US,328
38.90,-77.04,Washington,US,329
36.16,-86.77,Nashville,US,330
33.75,-84.39,Atlanta,US,331
40.71,-74.01,New York,US,332
41.85,-73.56,Amenia,US,333
40.71,-74.01,New York,US,334
38.90,-77.04,Washington,US,336
40.85,-73.88,Bronx,US,337
40.71,-74.01,New York,US,338
40.71,-74.01,New York,US,339
36.16,-86.77,Nashville,US,340
33.75,-84.39,Atlanta,US,341
38.25,-85.76,Louisville,US,342
40.71,-74.01,New York,US,343
50.91,-1.54,Southampton,England,344
51.53,-0.66,London,England,345
50.85,4.35,Brussels,Belgium,346
52.52,13.39,Berlin,Germany,347
48.86,2.32,Paris,France,348
48.83,6.91,Bavaria,Germany,349
52.52,13.39,Berlin,Germany,350
48.21,16.37,Vienna,Austria,351
55.75,37.62,Moscow,Russia,352
39.91,116.39,Beijing,China,355
31.23,121.47,Shanghai,China,356
32.75,129.88,Nagasaki,Japan,357
34.69,135.19,Kobe,Japan,358
34.69,135.50,Osaka,Japan,359
34.68,135.80,Nara,Japan,360
35.02,135.76,Kyoto,Japan,361
35.68,139.76,Tokyo,Japan,362
35.45,139.31,Yokahama,Japan,363
19.06,-155.59,NA,US,364
33.75,-84.39,Atlanta,US,365
41.88,-87.62,Chicago,US,366
42.33,-83.05,Detroit,US,368
41.88,-87.62,Chicago,US,369
40.06,-80.72,Wheeling,US,370
33.75,-84.39,Atlanta,US,371
30.94,-91.40,NA,US,372
26.17,-98.05,NA,US,373
41.88,-87.62,Chicago,US,374
40.71,-74.01,New York,US,375
39.29,-76.61,Baltimore,US,377
23.14,-82.36,Havana,Cuba,378
20.02,-75.90,Santiago,Cuba,379
24.56,-81.77,Key West,US,380
41.71,-73.93,Poughkeepsie,US,381
41.31,-72.93,New Haven,US,382
40.71,-74.01,New York,US,383
36.00,-78.90,Durham,US,384
33.75,-84.39,Atlanta,US,385
33.75,-84.39,Atlanta,US,386
40.71,-74.01,New York,US,387
40.71,-74.01,New York,US,388
40.71,-74.01,New York,US,390
40.71,-74.01,New York,US,391
38.90,-77.04,Washington,US,392
40.71,-74.01,New York,US,401
38.90,-77.04,Washington,US,402
50.32,-4.80,London,England,404
34.00,-81.03,Columbia,US,405
48.86,2.32,Paris,France,408
40.71,-74.01,New York,US,410
50.06,14.19,Prague,Czechoslovakia,411
47.94,17.59,NA,Slovakia,412
53.03,18.69,NA,Poland,413
40.71,-74.01,New York,US,415
42.21,-73.34,Great Barrington,US,417
47.94,17.59,NA,Slovakia,422
48.86,2.32,Paris,France,423
40.71,-74.01,New York,US,424
40.71,-74.01,New York,US,425
38.90,-77.04,Washington,US,426
40.71,-74.01,New York,US,427
40.71,-74.01,New York,US,428
41.88,-87.62,Chicago,US,445
40.71,-74.01,New York,US,447
50.32,-4.80,London,England,448
52.37,4.89,Amsterdam,Netherlands,449
48.86,2.32,Paris,France,450
55.78,49.12,Kazan,Russia,451
50.06,14.19,Prague,Czechoslovakia,453
47.07,15.01,NA,Hungary,454
39.91,116.39,Beijing,China,456
30.60,114.30,Wuhan,China,457
34.13,116.12,Shanghai,China,458
34.13,116.12,Hankou,China,459
23.13,113.26,Guangzhou,China,460
29.56,106.55,Chongqing,China,461
30.66,104.06,Chengdu,China,462
24.88,102.83,Kunming,China,463
32.06,118.79,Nanjing,China,464
55.75,37.62,Moscow,Russia,465
59.33,18.07,Stockholm,Sweden,466
52.52,13.39,Berlin,Germany,467
50.32,-4.80,London,England,468
40.71,-74.01,New York,US,469
50.85,4.35,Brussels,Belgium,471
41.89,12.48,Rome,Italy,473
5.56,-0.20,Accra,Ghana,474
40.71,-74.01,New York,US,475
6.46,3.39,Lagos,Nigeria,476
40.71,-74.01,New York,US,477
5.56,-0.20,Accra,Ghana,478
5.56,-0.20,Accra,Ghana,479
44.44,26.10,Bucharest,Romania,480
50.32,-4.80,London,UK,481
46.95,7.45,NA,Switzerland,482
5.56,-0.20,Accra,Ghana,483
5.56,-0.20,Accra,Ghana,484
